inspection_date,vehicle_no,good_truckbox,good_truckfloor,good_truckdoor,good_curtain,good_cooling_unit,pest_check,odor_check
2022-07-25,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-10,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-09-29,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-11-20,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-02,852208,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-10,332153,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-27,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-07,639369,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-03,927199,Yes,Yes,No,Yes,Yes,Yes,Yes
2023-08-10,104015,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-05,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-08,805995,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-12-21,498289,Yes,Yes,Yes,Yes,Yes,No,No
2024-11-01,271604,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-18,834169,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-01,271604,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-19,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-12-14,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-09,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-10-26,852208,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-03,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-21,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-12-30,747240,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-16,805995,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-27,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-19,740803,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-11-19,104015,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-02,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-21,332153,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-15,147795,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-19,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-02-26,730082,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-18,669128,Yes,Yes,Yes,No,Yes,Yes,Yes
2023-09-18,927199,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-13,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-05-21,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-14,147795,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-23,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-18,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-16,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-12,852208,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-13,563945,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-02,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-18,927199,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-28,104015,Yes,No,Yes,Yes,Yes,Yes,Yes
2024-10-16,639369,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-02,730082,Yes,Yes,No,Yes,Yes,Yes,Yes
2024-02-04,639369,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-11-19,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-08,284331,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-16,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-07,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-20,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-20,104015,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-23,332153,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-03-11,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-04-05,147795,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-19,271604,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-12,927199,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-20,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-08,747240,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-11-27,833447,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-08,805995,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-01,332153,Yes,Yes,No,Yes,Yes,No,Yes
2022-04-24,459040,Yes,Yes,Yes,Yes,Yes,Yes,No
2022-07-04,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-04-15,684492,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-28,755796,Yes,Yes,No,Yes,Yes,Yes,Yes
2023-06-05,684492,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-16,271604,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-01-30,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-19,805995,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-21,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-09,793668,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-29,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-21,793668,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-26,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-02,202921,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-05-10,679149,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-23,684492,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-01,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-03,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-22,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-09,610841,Yes,Yes,Yes,No,Yes,Yes,Yes
2022-03-28,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-26,376342,Yes,Yes,Yes,Yes,No,Yes,No
2022-10-21,284331,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-08,271604,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-07-21,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-05-15,927199,No,Yes,Yes,Yes,Yes,Yes,Yes
2024-11-15,805995,No,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-28,603843,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-17,965360,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-03-27,730082,Yes,Yes,Yes,Yes,Yes,Yes,No
2023-04-13,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-17,563945,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-12,747240,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-29,385905,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-16,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-03-31,376747,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-03-01,332153,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-07-17,610841,Yes,No,Yes,Yes,Yes,Yes,Yes
2022-10-09,271604,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-21,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-03-12,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-05,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-09,376747,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-01,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-01-21,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-18,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-21,740803,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-07,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-10-13,610841,No,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-13,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-23,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-22,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-11,385905,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-03,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-05,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-11,202921,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-04-01,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-03,684492,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-12-29,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-16,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-28,747240,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-04,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-20,793668,Yes,Yes,Yes,Yes,Yes,No,Yes
2022-10-25,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-30,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-24,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-01-22,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-18,793668,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-02,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-20,376747,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-30,684492,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-12,915260,Yes,Yes,Yes,Yes,No,Yes,Yes
2023-04-05,679149,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-16,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-03,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-07,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-31,679149,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-02,965360,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-08,603843,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-01,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-14,271604,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-12-27,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-09,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-06,730082,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-25,147795,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-21,730082,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-22,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-09,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-21,385905,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-29,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-20,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-25,684492,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-03-29,805995,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-09-25,927199,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-05,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-13,965360,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-12,730082,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-05,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-10,684492,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-04,147795,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-29,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-05,740803,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-12,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-05-26,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-27,805995,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-09,491934,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-01,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-03-28,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-06,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-07-21,563945,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-03-12,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-22,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-01,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-03-28,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-04-03,740803,Yes,Yes,Yes,No,Yes,Yes,Yes
2024-12-07,842083,Yes,No,Yes,Yes,Yes,Yes,Yes
2022-01-18,376342,No,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-03,202921,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-01,491934,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-29,385905,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-11-12,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-07-14,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-11-14,834169,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-25,202921,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-21,385905,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-09,834169,Yes,Yes,No,Yes,Yes,Yes,Yes
2024-02-08,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-18,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-18,376747,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-15,740803,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-14,376747,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-27,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-18,639369,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-03,284331,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-09,332153,Yes,Yes,Yes,Yes,Yes,No,Yes
2023-08-08,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-12-20,603843,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-03-11,927199,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-03-19,747240,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-03,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-22,684492,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-16,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-28,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-09,104015,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-01-04,563945,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-01,284331,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-13,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-10,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-11,965360,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-30,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-10,459040,Yes,Yes,No,Yes,Yes,Yes,Yes
2022-05-03,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-26,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-01,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-06,684492,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-01-31,147795,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-03,202921,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-11,730082,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-20,793668,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-26,332153,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-05,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-24,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-28,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-24,842083,No,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-28,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-07,284331,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-14,679149,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-09,915260,Yes,Yes,Yes,Yes,Yes,No,Yes
2024-07-06,725173,Yes,Yes,Yes,Yes,No,Yes,Yes
2024-02-05,679149,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-30,639369,Yes,Yes,No,Yes,Yes,Yes,Yes
2022-01-06,639369,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-07,459040,Yes,Yes,Yes,Yes,Yes,Yes,No
2022-03-31,284331,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-31,104015,Yes,No,Yes,Yes,Yes,Yes,Yes
2023-10-07,104015,Yes,Yes,No,Yes,Yes,Yes,Yes
2022-08-03,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-23,284331,Yes,Yes,No,Yes,Yes,Yes,Yes
2024-07-21,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-24,834169,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-27,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-29,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-31,639369,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-07,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-13,852208,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-28,563945,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-27,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-26,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-11,761087,Yes,Yes,Yes,No,Yes,Yes,Yes
2024-01-25,805995,Yes,Yes,Yes,Yes,No,Yes,Yes
2023-03-13,730082,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-02,498289,Yes,No,Yes,Yes,Yes,Yes,Yes
2022-06-15,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-10-06,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-03,639369,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-07,332153,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-20,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-25,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-02,563945,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-11-23,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-26,147795,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-21,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-06,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-03,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-23,852208,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-25,491934,Yes,Yes,Yes,No,Yes,Yes,Yes
2023-07-01,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-03-26,563945,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-02,793668,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-15,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-03-22,284331,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-03-05,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-28,284331,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-17,834169,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-23,927199,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-03,147795,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-20,271604,Yes,Yes,Yes,Yes,No,Yes,Yes
2023-10-15,147795,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-23,491934,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-07,271604,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-26,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-02,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-10,332153,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-21,284331,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-31,740803,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-13,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-14,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-01-25,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-07-13,603843,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-10,332153,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-01,805995,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-13,202921,Yes,Yes,Yes,Yes,No,Yes,Yes
2024-04-10,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-07,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-03-30,603843,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-10-08,284331,Yes,Yes,Yes,Yes,Yes,No,Yes
2022-07-22,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-03-22,639369,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-14,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-12,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-01,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-01,793668,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-11-23,730082,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-10,104015,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-28,385905,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-25,740803,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-11-07,969104,Yes,Yes,No,Yes,Yes,Yes,Yes
2024-01-16,965360,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-01,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-04,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-13,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-03-20,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-26,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-08,793668,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-09-25,833447,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-07,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-07,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-15,833447,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-31,747240,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-04-10,852208,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-04,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-29,376747,Yes,Yes,Yes,Yes,Yes,No,Yes
2024-10-19,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-26,747240,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-15,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-01-27,385905,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-20,563945,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-01,747240,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-02,730082,Yes,Yes,Yes,No,Yes,Yes,Yes
2023-05-29,793668,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-05,202921,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-01,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-02-06,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-07-21,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-29,805995,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-08,747240,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-03-26,271604,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-20,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-12,730082,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-12,679149,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-07-19,332153,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-02,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-10-23,834169,Yes,Yes,Yes,Yes,Yes,No,Yes
2024-06-01,385905,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-02-26,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-17,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-04,639369,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-12,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-27,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-31,927199,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-27,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-30,684492,Yes,Yes,Yes,Yes,No,Yes,Yes
2024-09-20,740803,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-10,834169,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-14,684492,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-05-21,965360,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-03-17,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-02-07,563945,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-08,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-04-19,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-07,257344,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-13,730082,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-11-26,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-15,730082,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-03,834169,Yes,Yes,Yes,Yes,Yes,Yes,Yes
